,City,Latitude,Longitude,Temperature,Maximum Temperature,Wind Speed,Country,Humidity,Cloudiness
251,balabac,7.9868,117.0645,301.27,301.27,1.95,PH,75,66
252,aripuana,-9.1667,-60.6333,295.44,295.44,0.68,BR,98,100
253,kampot,10.6167,104.1833,301.43,303.15,4.63,KH,83,75
254,fort nelson,58.8053,-122.7002,250.15,250.15,3.6,CA,70,90
255,macenta,8.5435,-9.471,290.71,290.71,0.23,GN,95,67
256,cayenne,4.9333,-52.3333,298.15,298.15,2.57,GF,78,75
257,norman wells,65.282,-126.8329,232.15,232.15,0.58,CA,66,40
258,brae,60.3964,-1.353,273.97,273.97,3.31,GB,89,23
259,kieta,-6.2167,155.6333,302.17,302.17,4.06,PG,72,68
260,mount gambier,-37.8333,140.7667,304.15,304.15,6.17,AU,29,0
261,sungaipenuh,-2.0833,101.3833,300.65,300.65,2.85,ID,52,38
262,namibe,-15.1961,12.1522,295.71,295.71,1.15,AO,78,99
263,ust-ilimsk,58.0006,102.6619,258.66,258.66,4.9,RU,87,53
264,victoria,22.2855,114.1577,288.93,290.37,0.45,HK,87,100
265,puerto escondido,15.85,-97.0667,297.89,297.89,2.44,MX,76,0
266,zaysan,47.4667,84.8667,261.28,261.28,2.36,KZ,90,37
267,altay,47.8667,88.1167,260.61,260.61,1.51,CN,87,27
268,malindi,-3.2175,40.1191,300.15,300.15,6.17,KE,78,75
269,saint-joseph,-21.3667,55.6167,300.58,303.15,5.14,RE,58,0
270,ordzhonikidze,52.4411,61.7408,251.28,251.28,2.73,KZ,85,14
271,epe,6.5841,3.9834,298.57,298.57,1.6,NG,93,81
272,ambilobe,-13.2,49.05,302.27,302.27,0.37,MG,74,90
273,samfya,-11.3649,29.5565,292.49,292.49,1.3,ZM,93,100
274,deming,32.2687,-107.7586,282.15,282.15,2.57,US,20,1
275,geraldton,-28.7667,114.6,297.15,297.15,10.8,AU,46,69
276,coihaique,-45.5752,-72.0662,289.15,289.15,0.51,CL,67,0
277,areia branca,-4.9561,-37.1369,299.01,299.01,4.67,BR,79,94
278,puerto asis,0.5133,-76.5007,296.19,296.19,0.81,CO,91,73
279,santa maria,-29.6842,-53.8069,291.2,291.2,0.64,BR,91,54
280,bargur,12.5424,78.3539,300.48,300.48,3.7,IN,20,2
281,yerbogachen,61.2767,108.0108,260.39,260.39,4.41,RU,93,8
282,hami,42.8,93.45,278.91,278.91,0.7,CN,55,100
283,westport,41.1415,-73.3579,267.71,269.15,2.06,US,80,1
284,shache,38.4167,77.2406,288.03,288.03,0.84,CN,29,5
285,caravelas,-17.7125,-39.2481,296.45,296.45,2.07,BR,84,93
286,hirara,24.8,125.2833,295.15,295.15,7.2,JP,64,75
287,faanui,-16.4833,-151.75,301.08,301.08,7.01,PF,69,0
288,salalah,17.0151,54.0924,297.15,297.15,4.63,OM,35,75
289,bulgan,48.8125,103.5347,272.62,272.62,0.94,MN,88,98
290,lompoc,34.6391,-120.4579,280.66,281.15,1.66,US,93,75
291,casa nova,-9.4167,-41.1333,295.15,295.15,4.32,BR,100,40
292,xudat,41.631,48.681,282.18,282.18,2.19,AZ,74,23
293,canico,32.6333,-16.85,285.3,288.15,3.09,PT,82,20
294,kulhudhuffushi,6.6221,73.07,300.86,300.86,5.66,MV,67,83
295,rocha,-34.4833,-54.3333,290.99,290.99,2.06,UY,94,10
296,rimouski,48.4488,-68.524,262.65,265.15,4.12,CA,73,24
297,palmer,42.1584,-72.3287,263.24,265.37,1.05,US,85,40
298,porangatu,-13.4408,-49.1486,293.34,293.34,0.73,BR,96,0
299,san ramon,37.7799,-121.978,282.82,284.82,3.09,US,82,90
300,coruripe,-10.1256,-36.1756,297.87,297.87,2.66,BR,87,96
301,erdaojiang,41.7764,126.0319,272.38,272.38,2.32,CN,92,1
302,dunedin,-45.8742,170.5036,288.2,288.71,1.79,NZ,75,88
303,luebo,-5.35,21.4167,296.8,296.8,0.77,CD,82,95
304,vardo,70.3705,31.1107,265.15,265.15,5.66,NO,79,40
305,encruzilhada,-15.5314,-40.9094,291.89,291.89,1.82,BR,94,82
306,abu kamal,34.4506,40.9171,289.09,289.09,3.01,SY,41,73
307,qaanaaq,77.484,-69.3632,262.85,262.85,4.82,GL,79,0
308,uruzgan,32.8333,66.0,283.08,283.08,2.14,AF,42,0
309,chapais,49.7834,-74.8492,250.15,250.15,2.57,CA,84,1
310,lazaro cardenas,17.9583,-102.2,295.11,295.11,1.68,MX,82,12
311,inta,66.0317,60.1659,241.23,241.23,3.02,RU,85,82
312,fallon,39.4735,-118.7774,279.47,279.82,2.57,US,70,90
313,rio gallegos,-51.6226,-69.2181,287.15,287.15,2.06,AR,88,0
314,mehamn,71.0357,27.8492,267.15,267.15,8.75,NO,73,40
315,kissidougou,9.1848,-10.0999,291.15,291.15,0.94,GN,84,29
316,mwinilunga,-11.7358,24.4293,291.9,291.9,3.21,ZM,92,95
317,luena,-11.7833,19.9167,291.36,291.36,3.67,AO,91,100
318,lamar,33.6668,-95.5836,271.15,271.15,2.06,US,100,90
319,lagoa,39.05,-27.9833,288.39,288.39,11.49,PT,82,99
320,antofagasta,-23.65,-70.4,291.15,291.15,3.6,CL,88,0
321,ambam,2.3833,11.2833,293.86,293.86,0.49,CM,95,90
322,egvekinot,66.3167,-179.1667,246.43,246.43,4.12,RU,72,0
323,beloha,-25.1667,45.05,296.04,296.04,3.7,MG,91,100
324,port elizabeth,-33.918,25.5701,292.15,292.15,1.54,ZA,100,20
325,les cayes,18.2,-73.75,296.1,296.1,1.33,HT,72,59
326,isla mujeres,21.2311,-86.731,299.08,299.26,3.6,MX,89,40
327,sanandaj,35.3144,46.9923,272.15,272.15,1.11,IR,86,0
328,rujewa,-8.7,34.3833,293.42,293.42,1.38,TZ,88,96
329,vazante,-17.9869,-46.9078,291.44,291.44,1.06,BR,91,21
330,bluefield,37.2698,-81.2223,274.66,275.93,1.54,US,100,90
331,chekhov,55.1431,37.4711,257.71,259.26,3.0,RU,78,40
332,goulburn,-34.75,149.7167,296.16,299.26,1.79,AU,75,85
333,walvis bay,-22.9575,14.5053,291.56,292.04,1.54,NA,88,0
334,tank,32.2217,70.3793,296.03,296.03,0.5,PK,21,0
335,kamiiso,41.8167,140.65,272.15,272.15,6.69,JP,69,75
336,sarakhs,36.5449,61.1577,289.15,289.15,4.77,IR,44,0
337,kashi,39.4547,75.9797,287.15,287.15,4.0,CN,15,0
338,ninotsminda,41.2646,43.5916,270.15,270.15,0.51,GE,93,32
339,okha,53.5739,142.9478,263.92,263.92,13.46,RU,95,100
340,lucea,18.451,-78.1736,297.28,298.15,1.54,JM,69,20
341,cervo,43.6702,-7.4101,278.71,278.71,4.47,ES,100,56
342,barguzin,53.6167,109.6167,268.19,268.19,2.39,RU,92,94
343,batagay,67.6333,134.6333,243.39,243.39,0.74,RU,82,0
344,kautokeino,69.0125,23.0412,258.75,258.75,1.92,NO,89,90
345,muros,42.7762,-9.0603,278.47,279.26,0.89,ES,95,58
346,port macquarie,-31.4333,152.9167,292.58,293.15,3.09,AU,94,90
347,punta gorda,26.9298,-82.0454,291.71,293.71,1.54,US,100,75
348,srednekolymsk,67.45,153.6833,252.38,252.38,4.06,RU,89,1
349,mantua,45.1667,10.7833,281.31,281.48,2.68,IT,96,100
350,fukue,32.6881,128.8419,286.15,286.15,2.06,JP,58,75
351,torbay,47.6666,-52.7314,270.3,270.93,14.92,CA,93,90
352,taungdwingyi,20.0167,95.55,304.8,304.8,1.97,MM,20,0
353,pozo colorado,-23.4923,-58.7972,293.54,293.54,1.93,PY,84,76
354,nanortalik,60.1432,-45.2371,269.3,269.3,7.14,GL,87,10
355,sribne,50.6638,32.9187,265.16,265.16,4.9,UA,97,100
356,meulaboh,4.1363,96.1285,303.45,303.45,2.91,ID,63,81
357,sakaiminato,35.55,133.2333,285.75,286.15,8.23,JP,41,20
358,hasaki,35.7333,140.8333,284.62,285.15,4.63,JP,35,75
359,khartoum,15.5518,32.5324,294.82,295.37,3.09,SD,46,39
360,vestmannaeyjar,63.4427,-20.2734,278.04,278.04,7.82,IS,69,100
361,malakal,9.5334,31.6605,297.82,297.82,3.03,SS,19,72
362,balkhash,46.844,74.9804,256.15,256.15,2.44,KZ,85,0
363,wangqing,43.3218,129.7634,272.81,272.81,1.02,CN,89,44
364,jumla,29.2747,82.1838,285.72,285.72,2.03,NP,37,100
365,cabo san lucas,22.8909,-109.9124,290.93,290.93,0.45,MX,69,0
366,helong,42.5397,128.9972,275.14,275.14,4.25,CN,76,4
367,najran,17.4924,44.1277,285.15,285.15,1.0,SA,76,0
368,santo antonio do ica,-3.1022,-67.9397,296.33,296.33,1.02,BR,98,71
369,bubaque,11.2833,-15.8333,298.6,298.6,4.56,GW,58,46
370,bundaberg,-24.85,152.35,301.15,301.15,7.72,AU,54,40
371,ust-omchug,61.15,149.6333,257.2,257.2,4.79,RU,90,100
372,terrace,54.5163,-128.6035,257.15,257.15,7.2,CA,51,1
373,loandjili,-4.7561,11.8578,298.15,298.15,1.54,CG,94,20
374,cabedelo,-6.9811,-34.8339,298.15,298.15,1.54,BR,94,40
375,ruteng,-8.6136,120.4721,295.77,295.77,1.72,ID,92,100
